,,,,,,
Colour checker Digital SG data (140 patches),,,,,,
Colour patch,Device-indepenent colour values,,,Device-depenent colour values normalised in the 0-1 interval,,
D04,54.115,65.280,72.435,0.552,0.744,0.621
D05,68.009,65.000,63.663,0.805,0.626,0.517
D06,55.016,64.880,44.233,0.638,0.706,0.293
D07,37.738,31.540,16.568,0.482,0.214,0.044
D08,38.196,33.530,26.921,0.452,0.247,0.163
D09,12.939,22.420,18.175,0.060,0.237,0.079
D10,85.778,90.770,97.765,0.926,0.948,0.811
E01,19.599,20.730,22.873,0.165,0.169,0.150
E02,11.250,9.970,6.738,0.085,0.026,0.000
E03,38.208,30.030,6.856,0.525,0.166,0.000
E04,8.159,6.360,26.094,0.000,0.014,0.252
E05,85.640,90.650,97.495,0.984,0.975,0.852
E06,4.293,4.560,5.204,0.000,0.000,0.000
E07,55.602,50.810,36.634,0.696,0.458,0.234
E08,54.070,45.950,31.793,0.687,0.372,0.186
E09,5.327,6.870,6.687,0.000,0.013,0.000
E10,19.611,20.750,22.921,0.167,0.177,0.147
F01,4.301,4.560,5.200,0.167,0.177,0.147
F02,37.284,32.850,25.638,0.446,0.238,0.156
F03,13.739,11.800,38.452,0.043,0.086,0.376
F04,14.272,23.370,10.753,0.103,0.248,0.000
F05,52.863,55.660,61.017,0.593,0.594,0.516
F06,8.962,9.490,10.579,0.037,0.040,0.028
F07,34.849,32.980,22.035,0.424,0.274,0.112
F08,36.164,33.890,27.528,0.420,0.289,0.168
F09,20.044,30.800,29.364,0.145,0.356,0.202
F10,4.248,4.500,5.111,0.000,0.000,0.000
G01,85.401,90.420,96.939,0.955,0.940,0.846
G02,17.326,18.190,34.151,0.106,0.159,0.296
G03,28.265,17.800,12.895,0.361,0.026,0.039
G04,21.768,10.880,5.770,0.246,0.000,0.000
G05,33.562,35.420,39.039,0.350,0.352,0.303
G06,13.353,14.150,15.795,0.090,0.094,0.076
G07,17.566,15.990,9.860,0.168,0.094,0.004
G08,36.548,34.400,27.141,0.418,0.304,0.170
G09,21.481,31.510,13.556,0.203,0.364,0.009
G10,85.390,90.360,97.323,0.951,0.957,0.832
H01,19.592,20.730,22.918,0.170,0.173,0.155
H02,10.247,13.340,7.129,0.056,0.096,0.000
H03,9.103,6.760,14.101,0.023,0.001,0.073
H04,53.581,57.420,10.113,0.728,0.554,0.000
H05,19.602,20.740,22.890,0.174,0.177,0.149
H06,28.077,29.660,32.717,0.282,0.287,0.245
H07,40.356,37.860,31.238,0.491,0.325,0.213
H08,37.571,34.110,27.217,0.460,0.270,0.171
H09,12.463,22.540,8.468,0.077,0.258,0.000
H10,19.592,20.730,22.898,0.170,0.173,0.155
I01,4.274,4.540,5.190,0.000,0.000,0.000
I02,23.661,22.040,41.933,0.185,0.192,0.376
I03,33.124,44.340,12.768,0.378,0.474,0.000
I04,29.832,17.800,28.861,0.314,0.054,0.229
I05,11.101,11.700,12.881,0.067,0.066,0.050
I06,46.565,48.850,53.928,0.522,0.515,0.456
I07,20.106,16.770,7.489,0.242,0.082,0.000
I08,12.955,11.650,7.296,0.107,0.051,0.000
I09,18.760,32.680,13.094,0.160,0.387,0.003
I10,4.295,4.550,5.181,0.000,0.000,0.000
J01,85.370,90.360,96.931,0.943,0.929,0.835
J02,30.150,41.150,46.473,0.256,0.471,0.386
J03,43.556,41.030,7.928,0.578,0.344,0.000
J04,15.654,19.920,43.130,0.068,0.214,0.419
J05,5.452,5.780,6.487,0.000,0.000,0.000
J06,70.499,74.250,81.210,0.812,0.800,0.713
J07,38.119,33.020,21.070,0.486,0.256,0.097
J08,41.413,36.680,23.261,0.527,0.286,0.114
J09,32.570,30.850,11.350,0.402,0.252,0.000
J10,85.304,90.270,97.310,0.957,0.957,0.842
K01,4.245,4.510,5.126,0.166,0.169,0.149
K02,65.700,65.040,52.678,0.780,0.612,0.393
K03,63.617,75.100,75.121,0.687,0.824,0.637
K04,63.920,64.460,79.220,0.705,0.652,0.707
K05,55.857,63.510,81.486,0.576,0.710,0.746
K06,40.151,42.390,46.894,0.432,0.433,0.386
K07,16.296,17.220,18.682,0.135,0.136,0.109
K08,6.003,6.380,7.146,0.004,0.005,0.001
K09,26.056,33.120,10.624,0.284,0.348,0.000
K10,19.596,20.760,22.878,0.172,0.177,0.152
L01,4.230,4.500,5.112,0.000,0.000,0.000
L02,9.211,6.840,6.681,0.052,0.000,0.000
L03,27.642,14.680,5.936,0.339,0.000,0.000
L04,38.389,29.370,31.030,0.465,0.170,0.231
L05,40.366,30.920,24.709,0.511,0.174,0.149
L06,45.578,31.780,6.472,0.645,0.129,0.000
L07,37.758,47.000,6.843,0.458,0.516,0.000
L08,29.524,32.210,9.891,0.345,0.296,0.000
L09,33.765,48.200,10.037,0.373,0.551,0.000
L10,4.268,4.530,5.132,0.000,0.000,0.000
M01,19.646,20.780,22.928,0.156,0.156,0.142
M02,25.936,13.770,13.235,0.260,0.000,0.055
M03,7.886,5.960,8.017,0.013,0.000,0.002
M04,24.459,12.760,7.726,0.272,0.000,0.001
M05,38.168,21.860,8.178,0.517,0.006,0.000
M06,62.449,58.120,10.214,0.826,0.487,0.000
M07,56.286,60.050,8.716,0.724,0.571,0.000
M08,35.353,45.240,9.044,0.397,0.471,0.000
M09,7.074,6.650,5.396,0.020,0.000,0.000
M10,19.573,20.710,22.876,0.160,0.165,0.144
N01,85.504,90.590,97.344,0.854,0.837,0.762
N02,19.548,20.690,22.861,0.152,0.153,0.138
N03,4.285,4.540,5.179,0.000,0.000,0.000
N04,85.134,90.140,96.806,0.900,0.883,0.799
N05,19.599,20.770,22.915,0.162,0.162,0.145
N06,4.252,4.510,5.106,0.000,0.000,0.000
N07,85.020,90.050,96.820,0.911,0.896,0.807
N08,19.552,20.700,22.839,0.159,0.162,0.141
N09,4.287,4.550,5.154,0.000,0.000,0.000
N10,85.429,90.430,97.426,0.872,0.864,0.780
